1,GIUSEPPE,INVERNIZZI,Ala,23/04/2003,0,0,ITA
2,DANIELE,TROVARELLI,Playmaker,29/01/2022,0,0,ITA
3,TREY,KELL,Playmaker,05/04/1996,193,95,USA
9,NICOLÒ,MELLI,Ala/Centro,26/01/1991,206,107,ITA
10,JERIAN,GRANT,Playmaker/Guardia,09/10/1992,196,91,USA
13,SERGIO,RODRIGUEZ,Playmaker,12/06/1986,191,80,ESP
14,ANDREA ANGELO,LEONI,Ala,14/04/2004,0,0,ITA
14,GIANMARCO,FIORILLO,Playmaker,10/02/2005,0,0,ITA
15,KALEB,TARCZEWSKI,Centro,26/02/1993,212,111,USA
16,JACOPO,RAPETTI,Ala,08/11/2004,0,0,ITA
17,GIAMPAOLO,RICCI,Centro,27/09/1991,202,0,ITA
19,PAUL STEPHAN,BILIGHA,Centro,31/05/1990,200,106,ITA
21,RICCARDO,MORASCHINI,Guardia,08/01/1991,194,99,ITA
22,DEVON,HALL,Guardia,07/08/1995,196,96,USA
23,MALCOLM,DELANEY,Playmaker,11/03/1989,191,86,USA
24,KONSTANTINOS,MITOGLOU,Ala/Centro,11/06/1996,210,116,GRC
25,TOMMASO,BALDASSO,Playmaker/Guardia,29/01/1998,192,88,ITA
30,TROY,DANIELS,Guardia,15/07/1991,193,91,USA
31,SHAVON,SHIELDS,Ala,05/06/1994,201,97,DNK
40,DAVIDE,ALVITI,Ala,05/11/1996,200,92,ITA
42,KYLE,HINES,Centro,02/09/1986,198,111,USA
50,BENJAMIN,BENTIL,Ala,29/03/1995,206,107,GHA
70,LUIGI,DATOME,Ala,27/11/1987,203,101,ITA
